"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2018","12","11","A long walk to water / a novel by Linda Sue Park.","Park, Linda Sue","Dut Salva 1974 Juvenile fiction, Refugees Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Water Juvenile fiction, Blacks Sudan Juvenile fiction, Sudan History Civil War 1983 2005 Juvenile fiction","Clarion Books,","2010."
"Physical","Horizon","SOUNDDISC","2018","12","1","The unity sessions / Pat Metheny.","Metheny, Pat","Jazz 2011 2020, Guitar music Jazz, Jazz","Nonesuch,","[2016]"
"Physical","Horizon","BOOK","2018","12","4","The Pumpkin Fair problem / by Katharine Kenah ; illustrated by Tammie Lyon.","Kenah, Katharine","Triplets Juvenile fiction, Carnivals Juvenile fiction, Brothers and sisters Juvenile fiction","Scholastic Inc.,","[2013]"
"Physical","Horizon","BOOK","2018","12","1","Debating race with Michael Eric Dyson / Michael Eric Dyson.","Dyson, Michael Eric","African Americans Social conditions, African Americans Race identity, United States Race relations","Basic Civitas Books,","[2007]"
"Physical","Horizon","BOOK","2018","12","1","Havana / Robert Polidori ; edited by Elizabeth Culbert ; essay by Luis Rodríguez ; bookdesign by Robert Polidori and Gerhard Steidl.","Polidori, Robert","Buildings Cuba Havana Pictorial works, Havana Cuba Pictorial works, Havana Cuba Buildings structures etc Pictorial works, Havana Cuba Social life and customs Pictorial works","Steidl,","2001."
"Physical","Horizon","BOOK","2018","12","2","The Revolutionary War, 1775-1783 / the art of Mort Künstler ; text by Alan Axelrod.","Künstler, Mort","United States History Revolution 1775 1783 Juvenile literature, United States History Revolution 1775 1783 Pictorial works Juvenile literature","Abbeville Kids, an imprint of Abbeville Press,","[2016]"
"Physical","Horizon","VIDEODISC","2018","12","1","Cuento de Navidad = A Christmas carol / [a Vanguard Cinema release ; Video Sueños].",,"Scrooge Ebenezer Juvenile fiction, Christmas Fiction, Ghosts Fiction, Spanish language materials, Animated films, Feature films, Childrens films","Vanguard,","2004."
"Digital","OverDrive","EBOOK","2018","12","2","El hacedor","Jorge Luis Borges","Fiction, Poetry","Random House, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2018","12","12","The Mystery of the Exploding Teeth: And Other Curiosities from the History of Medicine (unabridged) (Unabridged)","Thomas Morris","History, Medical, Nonfiction, Reference","Books on Tape","2018"
"Physical","Horizon","BOOK","2018","12","3","Richard Sherman : shutting down and speaking up / Ruth Bjorklund.","Bjorklund, Ruth","Sherman Richard 1988 Juvenile literature, Football players United States Biography Juvenile literature","Cavendish Square Publishing,","[2018]"
"Physical","Horizon","BOOK","2018","12","1","Salvation in death / J.D. Robb.","Robb, J. D., 1950-","Dallas Eve Fictitious character Fiction, Police New York State New York Fiction, Policewomen Fiction, Priests Crimes against Fiction, New York N Y Fiction, Mystery fiction","G.P. Putnam's Sons,","[2008]"
"Digital","OverDrive","EBOOK","2018","12","6","Men We Reaped: A Memoir","Jesmyn Ward","African American Nonfiction, Biography & Autobiography, Nonfiction","Bloomsbury USA","2013"
"Physical","Horizon","VIDEODISC","2018","12","1","The tree / Zeitgeist Films ; Memento Films International ; Les Films du Poisson and Taylor Media ; in association with Screen Australia ; in coproduction with Arte France Cinéma, ARD/Degeto and WDR/Arte ; with the participation of Canal+ and Arte France ; in association with Dorje Film, Le Pacte ; in coproduction with Tatfilm ; in association with Screen Queensland, Screen NSW and Coficup 2, a fund operated by Backup Films ; produced by Sue Taylor, Yaël Fogiel and Laetitia Gonzalez ; written by Julie Bertuccelli ; a film by Julie Bertuccelli.",,"Widows Drama, Fathers Death Drama, Grief Drama, Fathers and daughters Drama, Trees Drama, Australia Drama, Feature films, Fiction films, Video recordings for the hearing impaired","Zeitgeist Films,","2011."
"Digital","OverDrive","EBOOK","2018","12","1","The Sorcerer's Daughter: Defenders of Shannara Series, Book 3","Terry Brooks","Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2018","12","4","Bury My Heart at Wounded Knee: An Indian History of the American West (unabridged) (Unabridged)","Dee Brown","History, Nonfiction","Blackstone Audio, Inc.","2009"
"Physical","Horizon","BOOK","2018","12","1","Money money money water water water : a trilogy / Jane Mead.","Mead, Jane, 1958-",,"Alice James Books,","[2014]"
"Digital","OverDrive","EBOOK","2018","12","5","A Sure Thing: The Donnigans Series, Book 1","Marie Harte","Fiction, Literature, Romance","Sourcebooks","2017"
"Digital","OverDrive","EBOOK","2018","12","4","Pod vs. Pod: Squish Series, Book 8","Jennifer L. Holm","Comic and Graphic Books, Humor (Fiction), Juvenile Fiction","Random House, Inc.","2017"
"Digital","OverDrive","EBOOK","2018","12","2","The Trouble with Magic: Bewitching Mystery Series, Book 1","Madelyn Alt","Fantasy, Fiction, Mystery","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2018","12","1","The Complete Photo Guide to Curtains and Draperies: Do-It-Yourself Window Treatments","Linda Neubauer","Crafts, Nonfiction","Quarto Publishing Group USA","2011"
"Physical","Horizon","BOOK","2018","12","8","Red bones : a thriller / Ann Cleeves.","Cleeves, Ann","Perez Jimmy Fictitious character Fiction, Murder Investigation Scotland Shetland Fiction, Women Crimes against Scotland Fiction, Shetland Scotland Fiction, Thrillers Fiction, Detective and mystery fiction","Minotaur Books,","2009."
"Physical","Horizon","VIDEODISC","2018","12","9","Rumor has it-- / Warner Bros. Pictures ; in association with Village Roadshow Pictures a Section Eight/Spring Creek Production ; produced by Paula Weinstein, Ben Cosgrove ; written by T.M. Griffin ; directed by Rob Reiner.",,"Weddings Drama, Man woman relationships Drama, Families California Drama, Feature films, Comedy films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Warner Home Video,","2006."
"Physical","Horizon","BOOK","2018","12","1","Mei shi sheng hai zi, Zhong shi zuo yue zi : Zhong Mei yu er ti yan ji = American-style birth, Chinese-style afterbirth / Wang Rui, zhu.","Wang, Rui, 1972-","Pregnancy Popular works, Childbirth Popular works, Postnatal care Popular works","Xian dai chu ban she,","2017"
"Physical","Horizon","BOOK","2018","12","1","Writings : the autobiography of an ex-colored man, along this way, New York age editorials, selected essays, balck Manhattan, selected poems / James Weldon Johnson.","Johnson, James Weldon, 1871-1938","African Americans Literary collections, African Americans","Library of America : Distributed to the trade in the United States by Penguin Putnam,","[2004]"
"Physical","Horizon","BOOK","2018","12","1","Being there : why prioritizing motherhood in the first three years matters / Erica Komisar, LCSW with Sydny Miner.","Komisar, Erica","Motherhood, Parenting","TarcherPerigee,","[2017]"
"Physical","Horizon","BOOK","2018","12","2","If I die tonight : a novel / Alison Gaylin.","Gaylin, Alison","Social media Fiction, High school students Fiction, Carjacking Fiction, Attempted murder Fiction, Hudson River Valley N Y and N J Fiction, Thrillers Fiction","William Morrow, an imprint of HarperCollinsPublishers,","[2018]"
"Physical","Horizon","SOUNDDISC","2018","12","2","Ice and longboats : ancient music of Scandinavia.","Ensemble Mare Balticum","Folk music Scandinavia","Delphian Records,","[2016]"
"Physical","Horizon","BOOK","2018","12","1","The last picture show / Larry McMurtry.","McMurtry, Larry","Thalia Tex Imaginary place Fiction, Teenage boys Texas Fiction, Texas Fiction, Western stories, Bildungsromans","Simon & Schuster,","[1994]"
"Physical","Horizon","BOOK","2018","12","1","The freedom of self-forgetfulness : the path to true Christian joy / Timothy Keller.","Keller, Timothy, 1950-","Christian life","10Publishing,","[2012]"
"Physical","Horizon","BOOK","2018","12","1","Postwar : a history of Europe since 1945 / Tony Judt.","Judt, Tony","Europe History 1945","Penguin Books,","2006."
"Physical","Horizon","BOOK","2018","12","2","My shot : balancing it all and standing tall / Elena Delle Donne, with Sarah Durand.","Delle Donne, Elena","Delle Donne Elena Juvenile literature, Womens National Basketball Association History Juvenile literature, Women basketball players United States Biography Juvenile literature, Autobiographies","Simon & Schuster Books for Young Readers,","[2018]"
"Digital","OverDrive","EBOOK","2018","12","2","Buffalo Jump Blues: Sean Stranahan Mystery Series, Book 5","Keith McCafferty","Fiction, Mystery, Western","Penguin Group (USA), Inc.","2016"
"Physical","Horizon","BOOK","2018","12","1","The last days of Marie Antoinette and Louis XVI.","Furneaux, Rupert","Bourbon House of, France History Revolution 1789 1799","John Day Co.,","[1971]"
"Digital","OverDrive","EBOOK","2018","12","2","Joey Pigza Swallowed the Key: Joey Pigza Series, Book 1","Jack Gantos","Humor (Fiction), Juvenile Fiction","Macmillan Publishers","2013"
"Physical","Horizon","BOOK","2018","12","1","Microstyle : the art of writing little / Christopher Johnson.","Johnson, Christopher, 1963 October 12-","English language Style, English language Rhetoric","W. W. Norton & Co.,","[2011]"
"Digital","OverDrive","AUDIOBOOK","2018","12","5","Alone on the Ice: The Greatest Survival Story in the History of Exploration (unabridged) (Unabridged)","David Roberts","History, Nonfiction","Blackstone Audio, Inc.","2013"
"Digital","OverDrive","EBOOK","2018","12","1","Lord of the Darkwood: Tale of Shikanoko Series, Book 3","Lian Hearn","Fantasy, Fiction, Historical Fiction, Literature","Macmillan Publishers","2016"
"Physical","Horizon","VIDEODISC","2018","12","4","Jeune & jolie = Young & beautiful / Sundance Selects ; Mandarin Cinéma ; en coproduction avec Mars Films, France 2 Cinéma, FOZ ; avec la participation de Canal+, Ciné+, France Télévisions ; en association avec La Banque Postale Image 6, Cofimage 24, Manon 3, Cofinova 9, Palatine Etoile 10 ; un film de François Ozon ; produit par Eric & Nicolas Altmayer.",,"Teenage prostitution Drama, Feature films, Coming of age films, Fiction films, Motion pictures French, Video recordings for the hearing impaired","MPI Media Group,","[2014]"
"Physical","Horizon","BOOK","2018","12","1","Hard country : a novel of the old west / Michael McGarrity.","McGarrity, Michael","Widowers Fiction, Law enforcement Fiction, Outlaws Fiction, Large type books, New Mexico Fiction, Western stories, Historical fiction","Thorndike Press,","2012."
"Physical","Horizon","BOOK","2018","12","7","Let's go ABC! : things that go from A to Z / by Rhonda Gowler Greene ; illustrated by Daniel Kirk.","Greene, Rhonda Gowler","Vehicles Juvenile fiction, Alphabet Juvenile fiction, Vehicles Fiction, Alphabet, Picture books","Bloomsbury Children's Books,","2018."
"Physical","Horizon","BOOK","2018","12","9","The dinosaur that pooped the past / Tom Fletcher & Dougie Poynter ; illustrated by Garry Parsons.","Fletcher, Tom, 1985-","Danny Fictitious character Fletcher Juvenile fiction, Dinosaur Fictitious character Fletcher Juvenile fiction, Time travel Juvenile fiction, Picture books","Aladdin,","2018."
"Physical","Horizon","BOOK","2018","12","1","The 4 percent universe : dark matter, dark energy, and the race to discover the rest of reality / Richard Panek.","Panek, Richard","Cosmology, Physics, Dark matter Astronomy, Dark energy Astronomy, Astrophysics","Houghton Mifflin Harcourt,","2011."
"Physical","Horizon","SOUNDDISC","2018","12","3","B'lieve I'm goin down / Kurt Vile.","Vile, Kurt","Rock music 2011 2020","Matador,","[2015]"
"Physical","Horizon","VIDEODISC","2018","12","2","Henri Langlois : phantom of the Cinémathèque / La Cinémathèque française présente ; une coproduction Les Films elémentaires, La Cinémathèque française avec la participation du Centre national de la cinématographie et de l'Institut national de l'audiovisuel ; un film conçu, filmé, produit et réalisé par Jacques Richard.",,"Langlois Henri 1914 1977, Cin‚mathŠque fran‡aise, Motion pictures Collectors and collecting France Biography, Documentary films","Kino International,","[2006]"
"Physical","Horizon","BOOK","2018","12","2","Martin Chuzzlewit / Charles Dickens ; edited with an introduction and notes by Margaret Cardwell.","Dickens, Charles, 1812-1870","British Travel United States Fiction, Grandfathers Fiction, Young men Fiction, Avarice Fiction, United States Description and travel Fiction, England Social life and customs 19th century Fiction, Black humor, Adventure fiction, Bildungsromans","Oxford University Press,","2009."
"Physical","Horizon","BOOK","2018","12","2","Flying deep : climb inside deep-sea submersible Alvin / Michelle Cusolito ; illustrated by Nicole Wong.","Cusolito, Michelle,","Oceanographic submersibles Massachusetts Woods Hole Juvenile literature, Underwater exploration Juvenile literature","Charlesbridge,","[2018]"
"Physical","Horizon","SOUNDDISC","2018","12","3","Pet Shop Boys discography : the complete singles collection.","Pet Shop Boys","Popular music 1981 1990, Popular music 1991 2000","Capitol-EMI,","[1991]"
"Digital","OverDrive","EBOOK","2018","12","1","Dare to Repair, Replace & Renovate: Do-It-Herself Projects to Make Your Home More Comfortable, More Beautiful, and More Valuable!","Julie Sussman","Home Design & Décor, Nonfiction","HarperCollins Publishers Inc.","2009"
"Physical","Horizon","BOOK","2018","12","6","Aaron is a good sport / by P.D. Eastman.","Eastman, P. D. (Philip D.)","Ability Juvenile fiction, Alligators Juvenile fiction, Humorous stories, Sports Fiction","Random House,","2015."
"Digital","OverDrive","EBOOK","2018","12","1","Peplum","Blutch","Comic and Graphic Books, Fiction, Historical Fiction, Literature","Random House, Inc.","2016"
"Physical","Horizon","BOOK","2018","12","1","Modern holiday : deck the halls with 18 sewing projects : quilts, stockings, decorations & more / Amanda Murphy.","Murphy, Amanda, 1971-","Patchwork Patterns, Appliqu‚ Patterns, Quilting Patterns, Christmas decorations","Stash Books, an imprint of C&T Publishing,","[2013]"
"Digital","OverDrive","EBOOK","2018","12","1","One Summer: A Novel","Karen Robards","Fiction, Romance, Suspense, Thriller","Random House, Inc.","2012"
"Physical","Horizon","VIDEODISC","2018","12","14","Dear murderer. Series 1 / NZ on Air ; Screentime New Zealand ; producers, Riccardo Pellizzeri & Bridget Bourke ; directors, Riccardo Pellizzeri, John Laing & Matthew J. Saville ; writers, John Banas & Ande Cunningham.",,"Bungay Mike 1934 Drama, New Zealand Drama, Television series, Legal television programs, Biographical television programs, Television comedies, Fiction television programs, Video recordings for the hearing impaired","Acorn Media,","[2018]"
"Physical","Horizon","SOUNDDISC","2018","12","1","The rumba foundation / Jesse Cook.","Cook, Jesse","New Age music, Rumbas, Guitar music, World music","E1 Entertainment,","[2009]"
"Physical","Horizon","BOOK","2018","12","2","Suicide notes from beautiful girls / Lynn Weingarten.","Weingarten, Lynn","Best friends Juvenile fiction, Friendship Juvenile fiction, Suicide Juvenile fiction, Death Juvenile fiction","Simon Pulse,","2015."
"Physical","Horizon","BOOK","2018","12","1","The cigar that fell in love with a pipe / written by David Camus ; illustrated by Nick Abadzis ; [translated by Jeff Probst].","Camus, David, 1970-","Welles Orson 1915 1985 Comic books strips etc, Hayworth Rita 1918 1987 Comic books strips etc, Cigars Comic books strips etc, Women cigar makers Comic books strips etc, Comic books strips etc France Translations into English, Graphic novels, Comic books strips etc","SelfMadeHero,","2014."
"Physical","Horizon","BOOK","2018","12","1","A good killing / Allison Leotta.","Leotta, Allison","Public prosecutors Washington D C Fiction, Traffic accident victims Fiction, Murder Investigation Fiction, Michigan Fiction, Washington D C Fiction, Mystery fiction, Suspense fiction, Legal stories","Touchstone,","2015."
"Physical","Horizon","BOOK","2018","12","1","The problem with not being scared of monsters / Dan Richards ; illustrated by Robert Neubecker.","Richards, Dan, 1966-","Monsters Juvenile fiction, Friendship Juvenile fiction","Boyds Mills Press, an imprint of Highlights,","[2014]"
"Digital","OverDrive","EBOOK","2018","12","1","Will Wilder #2: The Lost Staff of Wonders","Raymond Arroyo","Juvenile Fiction, Juvenile Literature","Random House, Inc.","2017"
"Digital","OverDrive","EBOOK","2018","12","1","Unspeakable Things: Sex, Lies and Revolution","Laurie Penny","Nonfiction, Philosophy","Bloomsbury USA","2014"
"Physical","Horizon","BOOK","2018","12","3","Let my people go surfing : the education of a reluctant businessman / Yvon Chouinard ; foreword by Naomi Klein.","Chouinard, Yvon, 1938-","Chouinard Yvon 1938, Businesspeople United States Biography, Social responsibility of business","Penguin Books,","[2016]"
"Physical","Horizon","BOOK","2018","12","1","The deer park / Norman Mailer.","Mailer, Norman","Motion picture industry Fiction, Hollywood Los Angeles Calif Fiction","Vintage International,","1997."
"Physical","Horizon","BOOK","2018","12","1","Preserving by the pint : quick seasonal canning for small spaces / Marisa McClellan.","McClellan, Marisa","Canning and preserving, Food Storage","Running Press,","[2014]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Spy Secrets That Can Save Your Life: A Former CIA Officer Reveals Safety and Survival Techniques to Keep You and Your Family Protected (unabridged) (Unabridged)","Jason Hanson","Health & Fitness, Nonfiction, Reference, Sports & Recreations","Books on Tape","2015"
"Physical","Horizon","BOOK","2018","12","1","Italian home cooking : 125 recipes to comfort your soul / Julia della Croce ; photographs by Christopher Hersheimer.","Della Croce, Julia","Cooking Italian, Cookbooks","Kyle Books,","[2010]"
"Physical","Horizon","BOOK","2018","12","9","The Vanderbeekers and the hidden garden / by Karina Yan Glaser.","Glaser, Karina Yan","Gardening Juvenile fiction, Families Juvenile fiction, Neighbors Juvenile fiction, African Americans Juvenile fiction, Harlem New York N Y Juvenile fiction, New York N Y Juvenile fiction","Houghton Mifflin Harcourt,","[2018]"
"Physical","Horizon","SOUNDDISC","2018","12","1","Work like Da Vinci : gaining the creative advantage in your business and career / by Michael J. Gelb.","Gelb, Michael","Leonardo da Vinci 1452 1519, Creative ability in business, Success in business, Creative thinking","Recorded Books,","[2006]"
"Physical","Horizon","BOOK","2018","12","2","Benny and Penny in Lights out! : a toon book / by Geoffrey Hayes.","Hayes, Geoffrey","Bedtime Comic books strips etc Juvenile literature, Brothers and sisters Comic books strips etc, Mice Comic books strips etc, Cartoons and comics, Graphic novels","Toon Books,","2012."
"Physical","Horizon","BOOK","2018","12","1","The readers' advisory guide to genre fiction / Joyce G. Saricks.","Saricks, Joyce G.","Fiction in libraries United States, Readers advisory services United States, Reading interests United States, Fiction genres, Fiction Bibliography","American Library Association,","2009."
"Digital","OverDrive","EBOOK","2018","12","3","Savage Prince: Savage Trilogy, Book 1","Meghan March","Fiction, Romance, Suspense","Kobo Writing Life","2018"
"Digital","OverDrive","AUDIOBOOK","2018","12","5","Feliz Navidead: A Santa Fe Cafe Mystery (unabridged) (Unabridged)","Ann Myers","Fiction, Mystery","HarperCollins Publishers Inc.","2016"
"Digital","OverDrive","EBOOK","2018","12","1","How to Build a House","Dana Reinhardt","Young Adult Fiction, Young Adult Literature","Random House, Inc.","2012"
"Physical","Horizon","BOOK","2018","12","1","Hitchcock's rereleased films : from Rope to Vertigo / edited by Walter Raubicheck and Walter Srebnick ; with a foreword by Andrew Sarris.",,"Hitchcock Alfred 1899 1980 Criticism and interpretation","Wayne State University Press,","[1991]"
"Physical","Horizon","BOOK","2018","12","1","Spirit of the horse : a celebration in fact and fable / William Shatner with Jeff Rovin.","Shatner, William","Shatner William, Horses Literary collections, Horses Folklore, Horses in literature, Human animal relationships, Actors Canada Biography","Thomas Dunne Books,","2017."
"Digital","OverDrive","EBOOK","2018","12","1","Shadow Show: All-New Stories in Celebration of Ray Bradbury","Sam Weller","Fiction, Literature","HarperCollins Publishers Inc.","2012"
"Physical","Horizon","BOOK","2018","12","1","Merriam-Webster's elementary dictionary.",,"English language Dictionaries Juvenile","Merriam-Webster,","[2014]"
"Physical","Horizon","BOOK","2018","12","1","The sensational past : how the Enlightenment changed the way we use our senses / Carolyn Purnell.","Purnell, Carolyn","Senses and sensation History 18th century, Enlightenment Influence","W. W. Norton & Company,","[2017]"
"Digital","OverDrive","EBOOK","2018","12","1","Coldbrook","Tim Lebbon","Fiction, Horror, Science Fiction","Random House, Inc.","2014"
"Physical","Horizon","VIDEODISC","2018","12","24","Frosty the snowman / Rankin-Bass ; produced & directed by Arthur Rankin, Jr. & Jules Bass ; written by Romeo Muller.",,"Snowmen Juvenile drama, Magic Juvenile drama, Television specials, Christmas television programs, Fantasy television programs, Fiction television programs, Childrens television programs, Animated television programs, Video recordings for the hearing impaired","Universal,","[2018]"
"Digital","OverDrive","EBOOK","2018","12","2","Dead Zero: Bob Lee Swagger Series, Book 7","Stephen Hunter","Fiction, Thriller","Simon & Schuster, Inc.","2014"
"Physical","Horizon","BOOK","2018","12","2","Across the dark water / by Jennifer Lynn Alvarez.","Alvarez, Jennifer Lynn","Animals Mythical Juvenile fiction, Adventure stories, Mythological fiction, Fantasy fiction","Harper, an imprint of HarperCollinsPublishers,","[2018]"
"Physical","Horizon","BOOK","2018","12","1","Nancy Drew, girl detective. #21, High school musical mystery, part two. The lost verse / Stefan Petrucha & Sarah Kinney, writers ; Sho Murase, artist ; with 3D CG elements and color by Carlos Jose Guzman.","Petrucha, Stefan","Poe Edgar Allan 1809 1849 Comic books strips etc, Drew Nancy Fictitious character Comic books strips etc, Cartoons and comics, Mystery comic books strips etc, Graphic novels","Papercutz ; distributed by Macmillan,","[2010]"
"Physical","Horizon","SOUNDDISC","2018","12","1","Telegraph Avenue : [a novel] / Michael Chabon.","Chabon, Michael","Male friendship Fiction, Family secrets Fiction, Oakland Calif Fiction, Berkeley Calif Fiction, Mystery fiction","HarperAudio,","[2012]"
"Physical","Horizon","BOOK","2018","12","1","Broken trust : a Nora Abbott mystery / Shannon Baker.","Baker, Shannon, 1960-","Women environmentalists Fiction, Embezzlement investigation Fiction, Murder Investigation Fiction, Hopi Indians Fiction, Colorado Fiction, Mystery fiction","Midnight Ink,","[2014]"
"Physical","Horizon","BOOK","2018","12","1","Tooi yamanami no hikari / Kazuo Ishiguro ; Onodera Takeshi, yaku.","Ishiguro, Kazuo, 1954-","Nagasaki shi Japan History Bombardment 1945 Fiction","Hayakawa Shobō,","2001."
"Physical","Horizon","BOOK","2018","12","2","ABC, I like me! / by Nancy Carlson.","Carlson, Nancy L.","Self esteem Juvenile literature, English language Alphabet Juvenile literature, Alphabet","Viking,","1997."
"Digital","OverDrive","EBOOK","2018","12","1","Black Rock White City","A. S. Patric","Fiction, Literature, Suspense, Thriller","Random House, Inc.","2017"
"Physical","Horizon","BOOK","2018","12","1","But I could never go vegan! : 125 recipes that prove you can live without cheese, it's not all rabbit food, and your friends will still come over for dinner / by Kristy Turner ; photographs by Chris Miller.","Turner, Kristy","Vegan cooking, Cookbooks","The Experiment,","[2014]"
"Physical","Horizon","BOOK","2018","12","1","Founding martyr : the life and death of Dr. Joseph Warren, the American Revolution's lost hero / Christian Di Spigna.","Di Spigna, Christian","Warren Joseph 1741 1775, Massachusetts History Revolution 1775 1783 Biography, United States History Revolution 1775 1783 Biography, Boston Mass History Revolution 1775 1783, Soldiers Massachusetts Biography, Physicians Massachusetts Boston Biography, Biographies","Crown,","[2018]"
"Physical","Horizon","BOOK","2018","12","1","The great Christmas knit-off / Alexandra Brown.","Brown, Alexandra","Man woman relationships Fiction, Knitting Fiction, Small cities Fiction, City and town life Fiction, Christmas fiction, Love stories, Domestic fiction","William Morrow, an imprint of HarperCollins Publishers,","[2015]"
"Physical","Horizon","VIDEODISC","2018","12","2","The Perfect storm / Warner Bros. Pictures ; a Baltimore Spring Creek Pictures production ; in association with Radiant Productions ; screenplay by Bill Wittliff ; produced by Paula Weinstein, Wolfgang Petersen and Gail Katz ; directed by Wolfgang Petersen.",,"Andrea Gail Boat Drama, Halloween Noreaster 1991 Drama, Shipwrecks North Atlantic Ocean Drama, Swordfish fisheries New England Drama, Feature films, Fiction films, Action and adventure films, Video recordings for the hearing impaired","Warner Home Video,","[2000]"
"Digital","OverDrive","AUDIOBOOK","2018","12","2","Why We Work (Unabridged)","Barry Schwartz","Business, Nonfiction, Psychology","Simon & Schuster - Audiobooks","2015"
"Digital","OverDrive","EBOOK","2018","12","7","Picnic at Hanging Rock","Joan Lindsay","Fiction, Horror, Literature, Romance","Penguin Group (USA), Inc.","2018"
"Physical","Horizon","BOOK","2018","12","10","Chicken story time / Sandy Asher ; illustrated by Mark Fearing.","Asher, Sandy","Chickens Juvenile fiction, Books and reading Juvenile fiction, Librarians Juvenile fiction, Humorous stories","Dial Books for Young Readers,","[2016]"
"Physical","Horizon","BOOK","2018","12","3","Halt's peril / John Flanagan.","Flanagan, John (John Anthony)","Fugitives from justice Juvenile fiction, Cults Juvenile fiction, Insurgency Juvenile fiction, Fantasy","Philomel Books,","2010."
"Digital","OverDrive","AUDIOBOOK","2018","12","21","A Week in Winter (Unabridged)","Maeve Binchy","Fiction, Literature","Books on Tape","2013"
"Physical","Horizon","BOOK","2018","12","1","Real estate photography for everybody / Ron Castle.","Castle, Ron (Photographer),","Architectural photography, Photography of interiors, Real property, Real estate business","Amherst Media, Inc.,","2018."
"Physical","Horizon","BOOK","2018","12","19","A Mouseford musical / Thea Stilton ; illustrations by Chiara Balleello and Francesco Castelli ; translated by Anna Pizzelli.","Stilton, Thea","Musicals Juvenile fiction, Schools Juvenile fiction, Auditions Juvenile fiction","Scholastic Inc.,","[2015]"
